model_key,condition,arc_challenge,gsm8k,hellaswag,mmlu,truthfulqa_mc
falcon-h1-0.5b,all_attention_off,0.2140468227424749,0.0,0.369,0.228,0.22658227848101264
falcon-h1-0.5b,all_ssm_off,0.21070234113712374,0.03,0.265,0.2235,0.26329113924050634
falcon-h1-0.5b,attention_early_off,0.24414715719063546,0.04,0.4415,0.278,0.23037974683544304
falcon-h1-0.5b,attention_late_off,0.6588628762541806,0.26,0.4925,0.553,0.23544303797468355
falcon-h1-0.5b,attention_layer_00_off,0.76,,,0.44,
falcon-h1-0.5b,attention_layer_01_off,0.72,,,0.46,
falcon-h1-0.5b,attention_layer_02_off,0.72,,,0.4,
falcon-h1-0.5b,attention_layer_03_off,0.74,,,0.4,
falcon-h1-0.5b,attention_layer_04_off,0.68,,,0.42,
falcon-h1-0.5b,attention_layer_05_off,0.7,,,0.44,
falcon-h1-0.5b,attention_layer_06_off,0.76,,,0.4,
falcon-h1-0.5b,attention_layer_07_off,0.72,,,0.48,
falcon-h1-0.5b,attention_layer_08_off,0.74,,,0.4,
falcon-h1-0.5b,attention_layer_09_off,0.72,,,0.42,
falcon-h1-0.5b,attention_layer_10_off,0.72,,,0.44,
falcon-h1-0.5b,attention_layer_11_off,0.7,,,0.42,
falcon-h1-0.5b,attention_layer_12_off,0.72,,,0.46,
falcon-h1-0.5b,attention_layer_13_off,0.68,,,0.36,
falcon-h1-0.5b,attention_layer_14_off,0.72,,,0.4,
falcon-h1-0.5b,attention_layer_15_off,0.72,,,0.4,
falcon-h1-0.5b,attention_layer_16_off,0.74,,,0.44,
falcon-h1-0.5b,attention_layer_17_off,0.72,,,0.42,
falcon-h1-0.5b,attention_layer_18_off,0.74,,,0.46,
falcon-h1-0.5b,attention_layer_19_off,0.76,,,0.42,
falcon-h1-0.5b,attention_layer_20_off,0.72,,,0.44,
falcon-h1-0.5b,attention_layer_21_off,0.74,,,0.44,
falcon-h1-0.5b,attention_layer_22_off,0.74,,,0.42,
falcon-h1-0.5b,attention_layer_23_off,0.7,,,0.42,
falcon-h1-0.5b,attention_layer_24_off,0.74,,,0.44,
falcon-h1-0.5b,attention_layer_25_off,0.74,,,0.44,
falcon-h1-0.5b,attention_layer_26_off,0.74,,,0.42,
falcon-h1-0.5b,attention_layer_27_off,0.74,,,0.44,
falcon-h1-0.5b,attention_layer_28_off,0.74,,,0.44,
falcon-h1-0.5b,attention_layer_29_off,0.74,,,0.44,
falcon-h1-0.5b,attention_layer_30_off,0.74,,,0.44,
falcon-h1-0.5b,attention_layer_31_off,0.74,,,0.44,
falcon-h1-0.5b,attention_layer_32_off,0.74,,,0.44,
falcon-h1-0.5b,attention_layer_33_off,0.74,,,0.44,
falcon-h1-0.5b,attention_layer_34_off,0.74,,,0.42,
falcon-h1-0.5b,attention_layer_35_off,0.74,,,0.44,
falcon-h1-0.5b,attention_middle_off,0.5551839464882943,0.0,0.412,0.4405,0.22531645569620254
falcon-h1-0.5b,baseline,0.7357859531772575,0.4,0.512,0.568,0.22278481012658227
falcon-h1-0.5b,random_control_ssm_trial0,0.21739130434782608,0.02,0.2565,0.2315,0.2607594936708861
falcon-h1-0.5b,random_control_ssm_trial1,0.2909698996655518,0.02,0.275,0.246,0.25063291139240507
falcon-h1-0.5b,random_control_ssm_trial2,0.2140468227424749,0.0,0.2805,0.219,0.2620253164556962
falcon-h1-0.5b,ssm_early_off,0.29431438127090304,0.02,0.2735,0.2545,0.2481012658227848
falcon-h1-0.5b,ssm_late_off,0.6755852842809364,0.16,0.485,0.5385,0.23417721518987342
falcon-h1-0.5b,ssm_layer_00_off,0.56,,,0.38,
falcon-h1-0.5b,ssm_layer_01_off,0.68,,,0.42,
falcon-h1-0.5b,ssm_layer_02_off,0.68,,,0.44,
falcon-h1-0.5b,ssm_layer_03_off,0.72,,,0.46,
falcon-h1-0.5b,ssm_layer_04_off,0.7,,,0.42,
falcon-h1-0.5b,ssm_layer_05_off,0.78,,,0.36,
falcon-h1-0.5b,ssm_layer_06_off,0.68,,,0.44,
falcon-h1-0.5b,ssm_layer_07_off,0.74,,,0.42,
falcon-h1-0.5b,ssm_layer_08_off,0.7,,,0.42,
falcon-h1-0.5b,ssm_layer_09_off,0.76,,,0.34,
falcon-h1-0.5b,ssm_layer_10_off,0.72,,,0.38,
falcon-h1-0.5b,ssm_layer_11_off,0.78,,,0.46,
falcon-h1-0.5b,ssm_layer_12_off,0.72,,,0.44,
falcon-h1-0.5b,ssm_layer_13_off,0.76,,,0.48,
falcon-h1-0.5b,ssm_layer_14_off,0.7,,,0.42,
falcon-h1-0.5b,ssm_layer_15_off,0.7,,,0.44,
falcon-h1-0.5b,ssm_layer_16_off,0.7,,,0.44,
falcon-h1-0.5b,ssm_layer_17_off,0.76,,,0.48,
falcon-h1-0.5b,ssm_layer_18_off,0.74,,,0.44,
falcon-h1-0.5b,ssm_layer_19_off,0.74,,,0.42,
falcon-h1-0.5b,ssm_layer_20_off,0.74,,,0.46,
falcon-h1-0.5b,ssm_layer_21_off,0.74,,,0.42,
falcon-h1-0.5b,ssm_layer_22_off,0.72,,,0.44,
falcon-h1-0.5b,ssm_layer_23_off,0.74,,,0.42,
falcon-h1-0.5b,ssm_layer_24_off,0.74,,,0.42,
falcon-h1-0.5b,ssm_layer_25_off,0.74,,,0.44,
falcon-h1-0.5b,ssm_layer_26_off,0.74,,,0.44,
falcon-h1-0.5b,ssm_layer_27_off,0.72,,,0.46,
falcon-h1-0.5b,ssm_layer_28_off,0.74,,,0.42,
falcon-h1-0.5b,ssm_layer_29_off,0.74,,,0.42,
falcon-h1-0.5b,ssm_layer_30_off,0.74,,,0.42,
falcon-h1-0.5b,ssm_layer_31_off,0.74,,,0.44,
falcon-h1-0.5b,ssm_layer_32_off,0.74,,,0.42,
falcon-h1-0.5b,ssm_layer_33_off,0.74,,,0.44,
falcon-h1-0.5b,ssm_layer_34_off,0.74,,,0.44,
falcon-h1-0.5b,ssm_layer_35_off,0.74,,,0.44,
falcon-h1-0.5b,ssm_middle_off,0.5919732441471572,0.28,0.457,0.454,0.2240506329113924
qwen3.5-0.8b,all_attention_off,0.22742474916387959,0.0,0.3405,0.2145,0.2670886075949367
qwen3.5-0.8b,all_linear_off,0.2608695652173913,0.0,0.268,0.25,0.23037974683544304
qwen3.5-0.8b,baseline,0.7424749163879598,0.35,0.516,0.489,0.2848101265822785
qwen3.5-0.8b,layer_00_linear_off,0.2,,,0.26,
qwen3.5-0.8b,layer_01_linear_off,0.6,,,0.34,
qwen3.5-0.8b,layer_02_linear_off,0.38,,,0.36,
qwen3.5-0.8b,layer_03_attention_off,0.44,,,0.36,
qwen3.5-0.8b,layer_04_linear_off,0.46,,,0.44,
qwen3.5-0.8b,layer_05_linear_off,0.42,,,0.28,
qwen3.5-0.8b,layer_06_linear_off,0.4,,,0.38,
qwen3.5-0.8b,layer_07_attention_off,0.48,,,0.22,
qwen3.5-0.8b,layer_08_linear_off,0.5,,,0.48,
qwen3.5-0.8b,layer_09_linear_off,0.5,,,0.36,
qwen3.5-0.8b,layer_10_linear_off,0.46,,,0.44,
qwen3.5-0.8b,layer_11_attention_off,0.56,,,0.24,
qwen3.5-0.8b,layer_12_linear_off,0.52,,,0.48,
qwen3.5-0.8b,layer_13_linear_off,0.42,,,0.38,
qwen3.5-0.8b,layer_14_linear_off,0.6,,,0.38,
qwen3.5-0.8b,layer_15_attention_off,0.14,,,0.22,
qwen3.5-0.8b,layer_16_linear_off,0.58,,,0.42,
qwen3.5-0.8b,layer_17_linear_off,0.58,,,0.42,
qwen3.5-0.8b,layer_18_linear_off,0.58,,,0.38,
qwen3.5-0.8b,layer_19_attention_off,0.6,,,0.38,
