model_key,condition,benchmark,metric_name,score,n
qwen3.5-0.8b,baseline,mmlu,accuracy,0.489,2000
qwen3.5-0.8b,baseline,gsm8k,exact_match,0.35,100
qwen3.5-0.8b,baseline,arc_challenge,accuracy,0.7424749163879598,299
qwen3.5-0.8b,baseline,hellaswag,accuracy,0.516,2000
qwen3.5-0.8b,baseline,truthfulqa_mc,accuracy,0.2848101265822785,790
qwen3.5-0.8b,all_linear_off,mmlu,accuracy,0.25,2000
qwen3.5-0.8b,all_linear_off,gsm8k,exact_match,0.0,100
qwen3.5-0.8b,all_linear_off,arc_challenge,accuracy,0.2608695652173913,299
qwen3.5-0.8b,all_linear_off,hellaswag,accuracy,0.268,2000
qwen3.5-0.8b,all_linear_off,truthfulqa_mc,accuracy,0.23037974683544304,790
qwen3.5-0.8b,all_attention_off,mmlu,accuracy,0.2145,2000
qwen3.5-0.8b,all_attention_off,gsm8k,exact_match,0.0,100
qwen3.5-0.8b,all_attention_off,arc_challenge,accuracy,0.22742474916387959,299
qwen3.5-0.8b,all_attention_off,hellaswag,accuracy,0.3405,2000
qwen3.5-0.8b,all_attention_off,truthfulqa_mc,accuracy,0.2670886075949367,790
qwen3.5-0.8b,random_control_linear_trial0,mmlu,accuracy,0.233,2000
qwen3.5-0.8b,random_control_linear_trial0,gsm8k,exact_match,0.0,100
qwen3.5-0.8b,random_control_linear_trial0,arc_challenge,accuracy,0.23411371237458195,299
qwen3.5-0.8b,random_control_linear_trial0,hellaswag,accuracy,0.2475,2000
qwen3.5-0.8b,random_control_linear_trial0,truthfulqa_mc,accuracy,0.23924050632911392,790
qwen3.5-0.8b,random_control_attention_trial0,mmlu,accuracy,0.2395,2000
qwen3.5-0.8b,random_control_attention_trial0,gsm8k,exact_match,0.02,100
qwen3.5-0.8b,random_control_attention_trial0,arc_challenge,accuracy,0.24749163879598662,299
qwen3.5-0.8b,random_control_attention_trial0,hellaswag,accuracy,0.2335,2000
qwen3.5-0.8b,random_control_attention_trial0,truthfulqa_mc,accuracy,0.2974683544303797,790
qwen3.5-0.8b,random_control_linear_trial1,mmlu,accuracy,0.25,2000
qwen3.5-0.8b,random_control_linear_trial1,gsm8k,exact_match,0.0,100
qwen3.5-0.8b,random_control_linear_trial1,arc_challenge,accuracy,0.27424749163879597,299
qwen3.5-0.8b,random_control_linear_trial1,hellaswag,accuracy,0.246,2000
qwen3.5-0.8b,random_control_linear_trial1,truthfulqa_mc,accuracy,0.2088607594936709,790
qwen3.5-0.8b,random_control_attention_trial1,mmlu,accuracy,0.251,2000
qwen3.5-0.8b,random_control_attention_trial1,gsm8k,exact_match,0.02,100
qwen3.5-0.8b,random_control_attention_trial1,arc_challenge,accuracy,0.24414715719063546,299
qwen3.5-0.8b,random_control_attention_trial1,hellaswag,accuracy,0.307,2000
qwen3.5-0.8b,random_control_attention_trial1,truthfulqa_mc,accuracy,0.22784810126582278,790
qwen3.5-0.8b,random_control_linear_trial2,mmlu,accuracy,0.2675,2000
qwen3.5-0.8b,random_control_linear_trial2,gsm8k,exact_match,0.0,100
qwen3.5-0.8b,random_control_linear_trial2,arc_challenge,accuracy,0.2508361204013378,299
qwen3.5-0.8b,random_control_linear_trial2,hellaswag,accuracy,0.2425,2000
qwen3.5-0.8b,random_control_linear_trial2,truthfulqa_mc,accuracy,0.2949367088607595,790
qwen3.5-0.8b,random_control_attention_trial2,mmlu,accuracy,0.227,2000
qwen3.5-0.8b,random_control_attention_trial2,gsm8k,exact_match,0.01,100
qwen3.5-0.8b,random_control_attention_trial2,arc_challenge,accuracy,0.20066889632107024,299
qwen3.5-0.8b,random_control_attention_trial2,hellaswag,accuracy,0.2555,2000
qwen3.5-0.8b,random_control_attention_trial2,truthfulqa_mc,accuracy,0.31139240506329113,790
qwen3.5-0.8b,layer_00_linear_off,mmlu,accuracy,0.26,50
qwen3.5-0.8b,layer_00_linear_off,arc_challenge,accuracy,0.2,50
qwen3.5-0.8b,layer_01_linear_off,mmlu,accuracy,0.34,50
qwen3.5-0.8b,layer_01_linear_off,arc_challenge,accuracy,0.6,50
qwen3.5-0.8b,layer_02_linear_off,mmlu,accuracy,0.36,50
qwen3.5-0.8b,layer_02_linear_off,arc_challenge,accuracy,0.38,50
qwen3.5-0.8b,layer_03_attention_off,mmlu,accuracy,0.36,50
qwen3.5-0.8b,layer_03_attention_off,arc_challenge,accuracy,0.44,50
