model_key,benchmark,condition,baseline_score,ablated_score,score_drop,paired_n,bootstrap_mean_drop,bootstrap_ci_low,bootstrap_ci_high,ci_excludes_zero
qwen3.5-0.8b,mmlu,all_linear_off,0.489,0.25,0.239,2000,0.23899999260902405,0.21150000393390656,0.268512500077486,1
qwen3.5-0.8b,mmlu,all_attention_off,0.489,0.2145,0.27449999999999997,2000,0.2745000123977661,0.2475000023841858,0.304500013589859,1
qwen3.5-0.8b,gsm8k,all_linear_off,0.35,0.0,0.35,100,0.3499999940395355,0.25,0.44999998807907104,1
qwen3.5-0.8b,gsm8k,all_attention_off,0.35,0.0,0.35,100,0.3499999940395355,0.25,0.44999998807907104,1
qwen3.5-0.8b,arc_challenge,all_linear_off,0.7424749163879598,0.2608695652173913,0.4816053511705685,299,0.4816053509712219,0.4147157073020935,0.5518394708633423,1
qwen3.5-0.8b,arc_challenge,all_attention_off,0.7424749163879598,0.22742474916387959,0.5150501672240803,299,0.5150501728057861,0.44147157669067383,0.5852842926979065,1
qwen3.5-0.8b,hellaswag,all_linear_off,0.516,0.268,0.248,1981,0.24634023010730743,0.21603988222777842,0.27561837434768677,1
qwen3.5-0.8b,hellaswag,all_attention_off,0.516,0.3405,0.1755,1981,0.17667844891548157,0.15244825184345245,0.20242302119731903,1
qwen3.5-0.8b,truthfulqa_mc,all_linear_off,0.2848101265822785,0.23037974683544304,0.054430379746835456,790,0.05443038046360016,0.010126582346856594,0.09746835380792618,1
qwen3.5-0.8b,truthfulqa_mc,all_attention_off,0.2848101265822785,0.2670886075949367,0.01772151898734181,790,0.017721518874168396,-0.020253164693713188,0.05189873278141022,0
falcon-h1-0.5b,mmlu,all_ssm_off,0.568,0.2235,0.3444999999999999,2000,0.34450000524520874,0.31697500199079515,0.3750124998390674,1
falcon-h1-0.5b,mmlu,all_attention_off,0.568,0.228,0.33999999999999997,2000,0.3400000035762787,0.31299999356269836,0.37101249173283574,1
falcon-h1-0.5b,gsm8k,all_ssm_off,0.4,0.03,0.37,100,0.3700000047683716,0.27000001072883606,0.47999998927116394,1
falcon-h1-0.5b,gsm8k,all_attention_off,0.4,0.0,0.4,50,0.3400000035762787,0.2199999988079071,0.47999998927116394,1
falcon-h1-0.5b,arc_challenge,all_ssm_off,0.7357859531772575,0.21070234113712374,0.5250836120401338,299,0.525083601474762,0.454849511384964,0.5887123808264731,1
falcon-h1-0.5b,arc_challenge,all_attention_off,0.7357859531772575,0.2140468227424749,0.5217391304347826,299,0.52173912525177,0.45150500535964966,0.5886287689208984,1
falcon-h1-0.5b,hellaswag,all_ssm_off,0.512,0.265,0.247,1981,0.24785462021827698,0.22209742814302444,0.2746087908744812,1
falcon-h1-0.5b,hellaswag,all_attention_off,0.512,0.369,0.14300000000000002,1981,0.14134275913238525,0.12265270333737135,0.16153457760810852,1
falcon-h1-0.5b,truthfulqa_mc,all_ssm_off,0.22278481012658227,0.26329113924050634,-0.04050632911392407,790,-0.040506329387426376,-0.07721518725156784,-0.003797468263655901,0
falcon-h1-0.5b,truthfulqa_mc,all_attention_off,0.22278481012658227,0.22658227848101264,-0.0037974683544303722,790,-0.003797468263655901,-0.03291139379143715,0.029113924130797386,0
