layer_idx,component_type,path,depth,class_name,num_params
0,attention,model.layers.0.self_attn,1,FalconH1Attention,1310720
0,attention,model.layers.0.self_attn.q_proj,2,Linear,524288
0,attention,model.layers.0.self_attn.k_proj,2,Linear,131072
0,attention,model.layers.0.self_attn.v_proj,2,Linear,131072
0,attention,model.layers.0.self_attn.o_proj,2,Linear,524288
0,ssm,model.layers.0.mamba,1,FalconH1Mixer,5014344
0,ssm,model.layers.0.mamba.conv1d,2,Conv1d,8960
0,ssm,model.layers.0.mamba.in_proj,2,Linear,3432448
0,ssm,model.layers.0.mamba.out_proj,2,Linear,1572864
1,attention,model.layers.1.self_attn,1,FalconH1Attention,1310720
1,attention,model.layers.1.self_attn.q_proj,2,Linear,524288
1,attention,model.layers.1.self_attn.k_proj,2,Linear,131072
1,attention,model.layers.1.self_attn.v_proj,2,Linear,131072
1,attention,model.layers.1.self_attn.o_proj,2,Linear,524288
1,ssm,model.layers.1.mamba,1,FalconH1Mixer,5014344
1,ssm,model.layers.1.mamba.conv1d,2,Conv1d,8960
1,ssm,model.layers.1.mamba.in_proj,2,Linear,3432448
1,ssm,model.layers.1.mamba.out_proj,2,Linear,1572864
2,attention,model.layers.2.self_attn,1,FalconH1Attention,1310720
2,attention,model.layers.2.self_attn.q_proj,2,Linear,524288
2,attention,model.layers.2.self_attn.k_proj,2,Linear,131072
2,attention,model.layers.2.self_attn.v_proj,2,Linear,131072
2,attention,model.layers.2.self_attn.o_proj,2,Linear,524288
2,ssm,model.layers.2.mamba,1,FalconH1Mixer,5014344
2,ssm,model.layers.2.mamba.conv1d,2,Conv1d,8960
2,ssm,model.layers.2.mamba.in_proj,2,Linear,3432448
2,ssm,model.layers.2.mamba.out_proj,2,Linear,1572864
3,attention,model.layers.3.self_attn,1,FalconH1Attention,1310720
3,attention,model.layers.3.self_attn.q_proj,2,Linear,524288
3,attention,model.layers.3.self_attn.k_proj,2,Linear,131072
3,attention,model.layers.3.self_attn.v_proj,2,Linear,131072
3,attention,model.layers.3.self_attn.o_proj,2,Linear,524288
3,ssm,model.layers.3.mamba,1,FalconH1Mixer,5014344
3,ssm,model.layers.3.mamba.conv1d,2,Conv1d,8960
3,ssm,model.layers.3.mamba.in_proj,2,Linear,3432448
3,ssm,model.layers.3.mamba.out_proj,2,Linear,1572864
4,attention,model.layers.4.self_attn,1,FalconH1Attention,1310720
4,attention,model.layers.4.self_attn.q_proj,2,Linear,524288
4,attention,model.layers.4.self_attn.k_proj,2,Linear,131072
4,attention,model.layers.4.self_attn.v_proj,2,Linear,131072
4,attention,model.layers.4.self_attn.o_proj,2,Linear,524288
4,ssm,model.layers.4.mamba,1,FalconH1Mixer,5014344
4,ssm,model.layers.4.mamba.conv1d,2,Conv1d,8960
4,ssm,model.layers.4.mamba.in_proj,2,Linear,3432448
4,ssm,model.layers.4.mamba.out_proj,2,Linear,1572864
5,attention,model.layers.5.self_attn,1,FalconH1Attention,1310720
5,attention,model.layers.5.self_attn.q_proj,2,Linear,524288
5,attention,model.layers.5.self_attn.k_proj,2,Linear,131072
5,attention,model.layers.5.self_attn.v_proj,2,Linear,131072
5,attention,model.layers.5.self_attn.o_proj,2,Linear,524288
5,ssm,model.layers.5.mamba,1,FalconH1Mixer,5014344
5,ssm,model.layers.5.mamba.conv1d,2,Conv1d,8960
5,ssm,model.layers.5.mamba.in_proj,2,Linear,3432448
5,ssm,model.layers.5.mamba.out_proj,2,Linear,1572864
6,attention,model.layers.6.self_attn,1,FalconH1Attention,1310720
6,attention,model.layers.6.self_attn.q_proj,2,Linear,524288
6,attention,model.layers.6.self_attn.k_proj,2,Linear,131072
6,attention,model.layers.6.self_attn.v_proj,2,Linear,131072
6,attention,model.layers.6.self_attn.o_proj,2,Linear,524288
6,ssm,model.layers.6.mamba,1,FalconH1Mixer,5014344
6,ssm,model.layers.6.mamba.conv1d,2,Conv1d,8960
6,ssm,model.layers.6.mamba.in_proj,2,Linear,3432448
6,ssm,model.layers.6.mamba.out_proj,2,Linear,1572864
7,attention,model.layers.7.self_attn,1,FalconH1Attention,1310720
7,attention,model.layers.7.self_attn.q_proj,2,Linear,524288
7,attention,model.layers.7.self_attn.k_proj,2,Linear,131072
7,attention,model.layers.7.self_attn.v_proj,2,Linear,131072
7,attention,model.layers.7.self_attn.o_proj,2,Linear,524288
7,ssm,model.layers.7.mamba,1,FalconH1Mixer,5014344
7,ssm,model.layers.7.mamba.conv1d,2,Conv1d,8960
7,ssm,model.layers.7.mamba.in_proj,2,Linear,3432448
7,ssm,model.layers.7.mamba.out_proj,2,Linear,1572864
8,attention,model.layers.8.self_attn,1,FalconH1Attention,1310720
8,attention,model.layers.8.self_attn.q_proj,2,Linear,524288
8,attention,model.layers.8.self_attn.k_proj,2,Linear,131072
8,attention,model.layers.8.self_attn.v_proj,2,Linear,131072
8,attention,model.layers.8.self_attn.o_proj,2,Linear,524288
8,ssm,model.layers.8.mamba,1,FalconH1Mixer,5014344
8,ssm,model.layers.8.mamba.conv1d,2,Conv1d,8960
8,ssm,model.layers.8.mamba.in_proj,2,Linear,3432448
8,ssm,model.layers.8.mamba.out_proj,2,Linear,1572864
9,attention,model.layers.9.self_attn,1,FalconH1Attention,1310720
9,attention,model.layers.9.self_attn.q_proj,2,Linear,524288
9,attention,model.layers.9.self_attn.k_proj,2,Linear,131072
9,attention,model.layers.9.self_attn.v_proj,2,Linear,131072
9,attention,model.layers.9.self_attn.o_proj,2,Linear,524288
9,ssm,model.layers.9.mamba,1,FalconH1Mixer,5014344
9,ssm,model.layers.9.mamba.conv1d,2,Conv1d,8960
9,ssm,model.layers.9.mamba.in_proj,2,Linear,3432448
9,ssm,model.layers.9.mamba.out_proj,2,Linear,1572864
10,attention,model.layers.10.self_attn,1,FalconH1Attention,1310720
10,attention,model.layers.10.self_attn.q_proj,2,Linear,524288
10,attention,model.layers.10.self_attn.k_proj,2,Linear,131072
10,attention,model.layers.10.self_attn.v_proj,2,Linear,131072
10,attention,model.layers.10.self_attn.o_proj,2,Linear,524288
10,ssm,model.layers.10.mamba,1,FalconH1Mixer,5014344
10,ssm,model.layers.10.mamba.conv1d,2,Conv1d,8960
10,ssm,model.layers.10.mamba.in_proj,2,Linear,3432448
10,ssm,model.layers.10.mamba.out_proj,2,Linear,1572864
11,attention,model.layers.11.self_attn,1,FalconH1Attention,1310720
11,attention,model.layers.11.self_attn.q_proj,2,Linear,524288
11,attention,model.layers.11.self_attn.k_proj,2,Linear,131072
11,attention,model.layers.11.self_attn.v_proj,2,Linear,131072
11,attention,model.layers.11.self_attn.o_proj,2,Linear,524288
11,ssm,model.layers.11.mamba,1,FalconH1Mixer,5014344
11,ssm,model.layers.11.mamba.conv1d,2,Conv1d,8960
11,ssm,model.layers.11.mamba.in_proj,2,Linear,3432448
11,ssm,model.layers.11.mamba.out_proj,2,Linear,1572864
12,attention,model.layers.12.self_attn,1,FalconH1Attention,1310720
12,attention,model.layers.12.self_attn.q_proj,2,Linear,524288
12,attention,model.layers.12.self_attn.k_proj,2,Linear,131072
12,attention,model.layers.12.self_attn.v_proj,2,Linear,131072
12,attention,model.layers.12.self_attn.o_proj,2,Linear,524288
12,ssm,model.layers.12.mamba,1,FalconH1Mixer,5014344
12,ssm,model.layers.12.mamba.conv1d,2,Conv1d,8960
12,ssm,model.layers.12.mamba.in_proj,2,Linear,3432448
12,ssm,model.layers.12.mamba.out_proj,2,Linear,1572864
13,attention,model.layers.13.self_attn,1,FalconH1Attention,1310720
13,attention,model.layers.13.self_attn.q_proj,2,Linear,524288
13,attention,model.layers.13.self_attn.k_proj,2,Linear,131072
13,attention,model.layers.13.self_attn.v_proj,2,Linear,131072
13,attention,model.layers.13.self_attn.o_proj,2,Linear,524288
13,ssm,model.layers.13.mamba,1,FalconH1Mixer,5014344
13,ssm,model.layers.13.mamba.conv1d,2,Conv1d,8960
13,ssm,model.layers.13.mamba.in_proj,2,Linear,3432448
13,ssm,model.layers.13.mamba.out_proj,2,Linear,1572864
14,attention,model.layers.14.self_attn,1,FalconH1Attention,1310720
14,attention,model.layers.14.self_attn.q_proj,2,Linear,524288
14,attention,model.layers.14.self_attn.k_proj,2,Linear,131072
14,attention,model.layers.14.self_attn.v_proj,2,Linear,131072
14,attention,model.layers.14.self_attn.o_proj,2,Linear,524288
14,ssm,model.layers.14.mamba,1,FalconH1Mixer,5014344
14,ssm,model.layers.14.mamba.conv1d,2,Conv1d,8960
14,ssm,model.layers.14.mamba.in_proj,2,Linear,3432448
14,ssm,model.layers.14.mamba.out_proj,2,Linear,1572864
15,attention,model.layers.15.self_attn,1,FalconH1Attention,1310720
15,attention,model.layers.15.self_attn.q_proj,2,Linear,524288
15,attention,model.layers.15.self_attn.k_proj,2,Linear,131072
15,attention,model.layers.15.self_attn.v_proj,2,Linear,131072
15,attention,model.layers.15.self_attn.o_proj,2,Linear,524288
15,ssm,model.layers.15.mamba,1,FalconH1Mixer,5014344
15,ssm,model.layers.15.mamba.conv1d,2,Conv1d,8960
15,ssm,model.layers.15.mamba.in_proj,2,Linear,3432448
15,ssm,model.layers.15.mamba.out_proj,2,Linear,1572864
16,attention,model.layers.16.self_attn,1,FalconH1Attention,1310720
16,attention,model.layers.16.self_attn.q_proj,2,Linear,524288
16,attention,model.layers.16.self_attn.k_proj,2,Linear,131072
16,attention,model.layers.16.self_attn.v_proj,2,Linear,131072
16,attention,model.layers.16.self_attn.o_proj,2,Linear,524288
16,ssm,model.layers.16.mamba,1,FalconH1Mixer,5014344
