layer_idx,layer_class,attention_path,attention_class,attention_params,ssm_path,ssm_class,ssm_params,total_layer_params
0,FalconH1DecoderLayer,model.layers.0.self_attn,FalconH1Attention,1310720,model.layers.0.mamba,FalconH1Mixer,5014344,12618568
1,FalconH1DecoderLayer,model.layers.1.self_attn,FalconH1Attention,1310720,model.layers.1.mamba,FalconH1Mixer,5014344,12618568
2,FalconH1DecoderLayer,model.layers.2.self_attn,FalconH1Attention,1310720,model.layers.2.mamba,FalconH1Mixer,5014344,12618568
3,FalconH1DecoderLayer,model.layers.3.self_attn,FalconH1Attention,1310720,model.layers.3.mamba,FalconH1Mixer,5014344,12618568
4,FalconH1DecoderLayer,model.layers.4.self_attn,FalconH1Attention,1310720,model.layers.4.mamba,FalconH1Mixer,5014344,12618568
5,FalconH1DecoderLayer,model.layers.5.self_attn,FalconH1Attention,1310720,model.layers.5.mamba,FalconH1Mixer,5014344,12618568
6,FalconH1DecoderLayer,model.layers.6.self_attn,FalconH1Attention,1310720,model.layers.6.mamba,FalconH1Mixer,5014344,12618568
7,FalconH1DecoderLayer,model.layers.7.self_attn,FalconH1Attention,1310720,model.layers.7.mamba,FalconH1Mixer,5014344,12618568
8,FalconH1DecoderLayer,model.layers.8.self_attn,FalconH1Attention,1310720,model.layers.8.mamba,FalconH1Mixer,5014344,12618568
9,FalconH1DecoderLayer,model.layers.9.self_attn,FalconH1Attention,1310720,model.layers.9.mamba,FalconH1Mixer,5014344,12618568
10,FalconH1DecoderLayer,model.layers.10.self_attn,FalconH1Attention,1310720,model.layers.10.mamba,FalconH1Mixer,5014344,12618568
11,FalconH1DecoderLayer,model.layers.11.self_attn,FalconH1Attention,1310720,model.layers.11.mamba,FalconH1Mixer,5014344,12618568
12,FalconH1DecoderLayer,model.layers.12.self_attn,FalconH1Attention,1310720,model.layers.12.mamba,FalconH1Mixer,5014344,12618568
13,FalconH1DecoderLayer,model.layers.13.self_attn,FalconH1Attention,1310720,model.layers.13.mamba,FalconH1Mixer,5014344,12618568
14,FalconH1DecoderLayer,model.layers.14.self_attn,FalconH1Attention,1310720,model.layers.14.mamba,FalconH1Mixer,5014344,12618568
15,FalconH1DecoderLayer,model.layers.15.self_attn,FalconH1Attention,1310720,model.layers.15.mamba,FalconH1Mixer,5014344,12618568
16,FalconH1DecoderLayer,model.layers.16.self_attn,FalconH1Attention,1310720,model.layers.16.mamba,FalconH1Mixer,5014344,12618568
17,FalconH1DecoderLayer,model.layers.17.self_attn,FalconH1Attention,1310720,model.layers.17.mamba,FalconH1Mixer,5014344,12618568
18,FalconH1DecoderLayer,model.layers.18.self_attn,FalconH1Attention,1310720,model.layers.18.mamba,FalconH1Mixer,5014344,12618568
19,FalconH1DecoderLayer,model.layers.19.self_attn,FalconH1Attention,1310720,model.layers.19.mamba,FalconH1Mixer,5014344,12618568
20,FalconH1DecoderLayer,model.layers.20.self_attn,FalconH1Attention,1310720,model.layers.20.mamba,FalconH1Mixer,5014344,12618568
21,FalconH1DecoderLayer,model.layers.21.self_attn,FalconH1Attention,1310720,model.layers.21.mamba,FalconH1Mixer,5014344,12618568
22,FalconH1DecoderLayer,model.layers.22.self_attn,FalconH1Attention,1310720,model.layers.22.mamba,FalconH1Mixer,5014344,12618568
23,FalconH1DecoderLayer,model.layers.23.self_attn,FalconH1Attention,1310720,model.layers.23.mamba,FalconH1Mixer,5014344,12618568
24,FalconH1DecoderLayer,model.layers.24.self_attn,FalconH1Attention,1310720,model.layers.24.mamba,FalconH1Mixer,5014344,12618568
25,FalconH1DecoderLayer,model.layers.25.self_attn,FalconH1Attention,1310720,model.layers.25.mamba,FalconH1Mixer,5014344,12618568
26,FalconH1DecoderLayer,model.layers.26.self_attn,FalconH1Attention,1310720,model.layers.26.mamba,FalconH1Mixer,5014344,12618568
27,FalconH1DecoderLayer,model.layers.27.self_attn,FalconH1Attention,1310720,model.layers.27.mamba,FalconH1Mixer,5014344,12618568
28,FalconH1DecoderLayer,model.layers.28.self_attn,FalconH1Attention,1310720,model.layers.28.mamba,FalconH1Mixer,5014344,12618568
29,FalconH1DecoderLayer,model.layers.29.self_attn,FalconH1Attention,1310720,model.layers.29.mamba,FalconH1Mixer,5014344,12618568
30,FalconH1DecoderLayer,model.layers.30.self_attn,FalconH1Attention,1310720,model.layers.30.mamba,FalconH1Mixer,5014344,12618568
31,FalconH1DecoderLayer,model.layers.31.self_attn,FalconH1Attention,1310720,model.layers.31.mamba,FalconH1Mixer,5014344,12618568
32,FalconH1DecoderLayer,model.layers.32.self_attn,FalconH1Attention,1310720,model.layers.32.mamba,FalconH1Mixer,5014344,12618568
33,FalconH1DecoderLayer,model.layers.33.self_attn,FalconH1Attention,1310720,model.layers.33.mamba,FalconH1Mixer,5014344,12618568
34,FalconH1DecoderLayer,model.layers.34.self_attn,FalconH1Attention,1310720,model.layers.34.mamba,FalconH1Mixer,5014344,12618568
35,FalconH1DecoderLayer,model.layers.35.self_attn,FalconH1Attention,1310720,model.layers.35.mamba,FalconH1Mixer,5014344,12618568
