layer_idx,component_type,norm_change,cosine_similarity,component_output_norm_ratio,logit_lens_kl
0,attention,,,0.12090815298679783,0.7109375
1,attention,,,0.09682071174971085,0.054931640625
2,attention,,,0.10036205136390693,0.02783203125
3,attention,,,0.1000965448742417,0.00408935546875
4,attention,,,0.11260031724768942,0.00262451171875
5,attention,,,0.09529360027834763,7.772445678710938e-05
6,attention,,,0.09897452168353935,0.0057373046875
7,attention,,,0.10531770723858258,0.0079345703125
8,attention,,,0.08626331909950143,0.07373046875
9,attention,,,0.07612227408471949,0.013916015625
10,attention,,,0.10046098614918114,0.265625
11,attention,,,0.08626378055604841,0.0260009765625
12,attention,,,0.1012895403105268,0.5
13,attention,,,0.09943745231335657,0.25
14,attention,,,0.0702857761871232,0.06591796875
15,attention,,,0.07736805561603696,0.0198974609375
16,attention,,,0.0808262754742315,0.0230712890625
17,attention,,,0.09962349659239447,0.2177734375
18,attention,,,0.0765338914743478,0.0103759765625
19,attention,,,0.06979531613857666,0.0888671875
20,attention,,,0.08247882735585146,0.09326171875
21,attention,,,0.08903762332561355,0.00067138671875
22,attention,,,0.11164495446128449,0.470703125
23,attention,,,0.12212647130453314,0.126953125
24,attention,,,0.13380064495570418,1.5459954738616943e-07
25,attention,,,0.053865033179041774,2.384185791015625e-05
26,attention,,,0.04366745182966425,1.6689300537109375e-06
27,attention,,,0.04657861386549543,6.927791673660977e-13
28,attention,,,0.039826710720735715,1.708702623837155e-16
29,attention,,,0.04996571871373956,4.458427429199219e-05
30,attention,,,0.04868910362551063,1.5585406229479126e-19
31,attention,,,0.038214715105318785,4.917383193969727e-07
32,attention,,,0.04310046047323456,0.1318359375
33,attention,,,0.03823547607722056,0.3515625
34,attention,,,0.042576652701120835,-2.8455013071824152e-21
35,attention,,,0.04310223476635567,0.0
0,hybrid_block,0.5758405923843384,0.8394816517829895,,
1,hybrid_block,0.42371511459350586,0.9111784100532532,,
2,hybrid_block,0.3758677542209625,0.9309448599815369,,
3,hybrid_block,0.3802821636199951,0.9331237077713013,,
4,hybrid_block,0.34437838196754456,0.9447275400161743,,
5,hybrid_block,0.39594581723213196,0.9507798552513123,,
6,hybrid_block,0.24612393975257874,0.967250645160675,,
7,hybrid_block,0.25671276450157166,0.9638833403587341,,
8,hybrid_block,0.21720920503139496,0.9741553664207458,,
9,hybrid_block,0.21126006543636322,0.975532054901123,,
10,hybrid_block,0.20079630613327026,0.9780674576759338,,
11,hybrid_block,0.18592698872089386,0.9814537167549133,,
12,hybrid_block,0.19248460233211517,0.9803007245063782,,
13,hybrid_block,0.19207671284675598,0.9809019565582275,,
14,hybrid_block,0.18316727876663208,0.9815981388092041,,
15,hybrid_block,0.20796892046928406,0.9779234528541565,,
16,hybrid_block,0.199101984500885,0.979759693145752,,
17,hybrid_block,0.23610559105873108,0.9726415872573853,,
18,hybrid_block,0.2276475727558136,0.9739311933517456,,
19,hybrid_block,0.2553620934486389,0.9719668626785278,,
20,hybrid_block,0.3183724880218506,0.950946033000946,,
21,hybrid_block,0.28667864203453064,0.9665504097938538,,
22,hybrid_block,0.2879560887813568,0.9669381380081177,,
23,hybrid_block,0.34964242577552795,0.9485424160957336,,
24,hybrid_block,0.3446594178676605,0.9574252367019653,,
25,hybrid_block,0.23660771548748016,0.9768339395523071,,
26,hybrid_block,0.24452762305736542,0.9749392867088318,,
27,hybrid_block,0.23174527287483215,0.9777001738548279,,
28,hybrid_block,0.23702844977378845,0.9753095507621765,,
29,hybrid_block,0.25186020135879517,0.9757822155952454,,
30,hybrid_block,0.22688661515712738,0.9774106740951538,,
31,hybrid_block,0.2186153382062912,0.9772698283195496,,
32,hybrid_block,0.24375304579734802,0.9764016270637512,,
33,hybrid_block,0.1971672624349594,0.9808918237686157,,
34,hybrid_block,0.2516825795173645,0.9725610613822937,,
35,hybrid_block,0.4155343174934387,0.9525293111801147,,
0,ssm,,,1.671817582620579,0.69921875
1,ssm,,,1.110849066556184,2.859375
2,ssm,,,0.9236701426447932,0.515625
3,ssm,,,0.7716139979627475,0.0001277923583984375
4,ssm,,,0.8238290355596369,0.0027008056640625
5,ssm,,,0.8922351030618658,0.0003681182861328125
6,ssm,,,0.6030872013132035,0.044677734375
7,ssm,,,0.62220593031768,0.0791015625
8,ssm,,,0.5530024823799141,0.45703125
9,ssm,,,0.5055361249832236,0.0478515625
10,ssm,,,0.47621746097343437,0.09716796875
11,ssm,,,0.44236343854012616,0.00799560546875
12,ssm,,,0.3887410560112158,0.369140625
13,ssm,,,0.43258541080360174,0.0947265625
14,ssm,,,0.45533090093584844,0.2265625
15,ssm,,,0.47442220545972585,0.02490234375
16,ssm,,,0.39904938193221046,0.025634765625
17,ssm,,,0.51318758983107,0.1005859375
18,ssm,,,0.5576149332599726,0.048095703125
19,ssm,,,0.5643005607095013,0.01422119140625
20,ssm,,,0.828574299685808,0.09375
21,ssm,,,0.5413162989166858,0.009521484375
22,ssm,,,0.5339025723500072,0.031494140625
23,ssm,,,0.7528274162228924,0.076171875
24,ssm,,,0.5994632005857421,2.1047890186309814e-07
25,ssm,,,0.3699073715195122,7.772445678710938e-05
26,ssm,,,0.4770259104165954,2.6226043701171875e-06
27,ssm,,,0.4303739560728239,4.149569576838985e-12
28,ssm,,,0.5271487282563992,-3.536362554786704e-20
29,ssm,,,0.5288022323719356,2.3245811462402344e-06
30,ssm,,,0.446617139214568,32.0
31,ssm,,,0.43969892556044987,0.0025177001953125
32,ssm,,,0.508834875790116,0.353515625
33,ssm,,,0.3877944434269972,11.125
34,ssm,,,0.4367655473405185,-8.523269031746397e-21
35,ssm,,,0.4795575830302635,0.0
