context_length,condition,loss,model_key
128,baseline,2.203125,qwen3.5-0.8b
256,baseline,1.859375,qwen3.5-0.8b
512,baseline,1.9765625,qwen3.5-0.8b
1024,baseline,1.90625,qwen3.5-0.8b
128,all_linear_off,13.6875,qwen3.5-0.8b
256,all_linear_off,12.8125,qwen3.5-0.8b
512,all_linear_off,12.875,qwen3.5-0.8b
1024,all_linear_off,12.75,qwen3.5-0.8b
128,baseline,1.7265625,falcon-h1-0.5b
256,baseline,1.828125,falcon-h1-0.5b
512,baseline,1.734375,falcon-h1-0.5b
1024,baseline,1.7265625,falcon-h1-0.5b
128,all_ssm_off,5.5,falcon-h1-0.5b
256,all_ssm_off,5.5625,falcon-h1-0.5b
512,all_ssm_off,5.4375,falcon-h1-0.5b
1024,all_ssm_off,5.6875,falcon-h1-0.5b
