layer_idx,layer_type_raw,layer_type,layer_class,token_mixer_params,mlp_params,total_layer_params
0,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
1,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
2,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
3,full_attention,attention,Qwen3_5DecoderLayer,7340544,11010048,18352640
4,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
5,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
6,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
7,full_attention,attention,Qwen3_5DecoderLayer,7340544,11010048,18352640
8,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
9,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
10,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
11,full_attention,attention,Qwen3_5DecoderLayer,7340544,11010048,18352640
12,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
13,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
14,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
15,full_attention,attention,Qwen3_5DecoderLayer,7340544,11010048,18352640
16,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
17,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
18,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
19,full_attention,attention,Qwen3_5DecoderLayer,7340544,11010048,18352640
20,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
21,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
22,linear_attention,linear,Qwen3_5DecoderLayer,10543264,11010048,21555360
23,full_attention,attention,Qwen3_5DecoderLayer,7340544,11010048,18352640
