layer_idx,component_type,norm_change,cosine_similarity,component_output_norm_ratio,logit_lens_kl
3,attention,0.628662645816803,0.8164793252944946,0.45918455677781106,0.0002269744873046875
7,attention,0.4936780035495758,0.8735875487327576,0.36353368986104184,0.00038909912109375
11,attention,0.45083680748939514,0.8996806144714355,0.30143253544475174,0.00013828277587890625
15,attention,0.625912606716156,0.8506036996841431,0.37582352664575025,0.000865936279296875
19,attention,0.4865493178367615,0.9071180820465088,0.29136512307002516,0.0016937255859375
23,attention,0.8709872364997864,0.7174298763275146,0.38341646130584955,0.03662109375
0,linear,1.981047511100769,0.11123106628656387,1.8917285214719202,0.0032501220703125
1,linear,0.7255594730377197,0.8140251040458679,0.6285214484033174,0.00213623046875
2,linear,0.6946566700935364,0.7899854779243469,0.5788842103713862,0.000926971435546875
4,linear,0.5854288935661316,0.8335158228874207,0.38932624618786554,0.0002880096435546875
5,linear,0.5540754199028015,0.8534809350967407,0.41704902765013907,0.0001735687255859375
6,linear,0.5691331624984741,0.8578169345855713,0.39290674482014326,0.000362396240234375
8,linear,0.4056611657142639,0.914239227771759,0.30526852547811406,5.900859832763672e-06
9,linear,0.37587299942970276,0.9310478568077087,0.2862067307225344,0.00024127960205078125
10,linear,0.41967812180519104,0.913918673992157,0.3123500358967838,0.0002899169921875
12,linear,0.4328841269016266,0.9170602560043335,0.28071340654046983,0.00010585784912109375
13,linear,0.47654253244400024,0.9053762555122375,0.32791616539597307,0.0003509521484375
14,linear,0.6038537621498108,0.876798689365387,0.34691389831270614,0.000698089599609375
16,linear,0.5281804203987122,0.8953762054443359,0.3305183502688925,0.001220703125
17,linear,0.4523357152938843,0.915540874004364,0.29626846679552504,0.0004634857177734375
18,linear,0.46593883633613586,0.9140544533729553,0.2687072743461524,0.000637054443359375
20,linear,0.42900550365448,0.9299051761627197,0.29184433449857783,0.0008392333984375
21,linear,0.3890886604785919,0.9380531311035156,0.25673776751298943,0.00194549560546875
22,linear,0.43013909459114075,0.9144473075866699,0.2538289798426379,0.0042724609375
