condition,loss,perplexity,layers_removed
baseline,2.491415500640869,12.078360557556152,0
random_18_layers_trial0,13.828289031982422,1012860.5,18
random_18_layers_trial1,15.61681079864502,6057518.5,18
random_18_layers_trial2,17.71416664123535,49336100.0,18
random_18_layers_trial3,14.122447967529297,1359255.875,18
random_18_layers_trial4,19.236665725708008,226140208.0,18
random_6_layers_trial0,17.467885971069336,38566168.0,6
random_6_layers_trial1,10.788420677185059,48456.4453125,6
random_6_layers_trial2,5.147922515869141,172.07363891601562,6
random_6_layers_trial3,7.8560004234313965,2581.176025390625,6
random_6_layers_trial4,11.34664535522461,84680.8984375,6
